nama,fakultas,nilai_kal,nilai_fis,nilai_kim
Naqisya Auliya,SITHS,62.26,67.27,57.8
Radjendra Ignatius,FTTM,43.43,46.43,55.54
Leila Indra,SBM,69.0,69.86,45.6
Yeremia Oeken,SITHS,61.92,60.64,57.63
Fadhilah I,FTSL,36.07,36.01,44.72
Anizah Qonitalillah,SBM,66.73,67.15,69.84
Devito Papuano,FTSL,32.15,36.53,52.9
Witera Bayu,SBM,65.34,67.47,44.86
Raymond Kenesha,STEI,54.84,52.3,45.24
Nuriawan Maralus,SF,60.15,63.59,60.8
Rifky Hosea,FTTM,43.01,46.76,53.15
Luthfi Fauzi,FTMD,56.38,59.34,54.98
Wijaya Az,FITB,45.7,46.6,54.81
Luh Wilisetya,STEI,53.51,56.02,51.66
Muhammad Michael,STEI,52.78,48.39,57.59
Aqiela Deven,SAPPK,47.76,52.29,53.46
Sulistiyan Tri,FTTM,40.7,41.2,61.8
Utami Syafa,SITHR,63.99,71.29,54.6
Aristo Lusianawati,STEI,52.51,54.01,46.27
Hasibuan Roy,SBM,66.7,68.13,61.34
Gelora Sianipar,FTSL,35.78,42.94,64.79
Bella Valentinus,STEI,56.01,66.91,70.73
Gusti Geraldo,SITHR,65.02,66.85,52.67
Amelia Ferryl,FSRD,69.95,67.53,60.66
Bayu Maharani,FMIPA,50.84,57.25,66.81
Ghani Widiantoro,FTSL,28.44,33.76,68.71
zahrah Sihombing,FSRD,74.25,82.89,65.36
Badraqa Herbert,FTSL,35.41,41.33,65.51
Alicia Putri,STEI,54.59,61.75,49.91
Hanif Heraldi,FTSL,35.41,43.79,74.96
Akmal Willys,FTMD,57.4,53.96,51.51
Atmaja Capriano,FTTM,43.44,46.97,48.51
Simorangkir Syamsinatra,FTTM,38.39,39.52,56.35
Putra Finnegan,FITB,44.69,42.31,48.84
Novaldi Putra,FITB,46.0,46.84,54.45
Samuel Jasmine,FTTM,39.29,42.49,65.21
Lyusi Fatsa,FSRD,78.69,76.47,61.97
Rahma Ariqah,FSRD,70.66,69.21,62.23
Aisha Putri,SBM,67.24,69.67,69.94
Salimah Jaza,FTSL,32.76,34.32,46.52
Auladi Limbong,FTTM,40.73,46.86,60.37
Khairunnisa Izzah,STEI,56.03,54.97,54.96
Dhirajati Shalika,FSRD,73.87,76.62,63.46
Adirama Aldaffa,FITB,46.52,51.09,47.87
Salsabila Muhammad,SAPPK,47.12,46.47,52.37
Alvin Maya,FITB,45.79,44.03,56.43
Arif Fikri,SAPPK,46.86,53.0,52.97
Damanik Alicia,FTSL,35.06,40.66,70.09
Muhammad David,STEI,54.55,56.47,55.09
Erik Broma,FTSL,34.88,36.98,44.65
Naufal Edward,SITHR,62.83,67.9,56.5
Patricia kayla,SITHS,61.97,64.02,62.59
Delistina Vidya,FTSL,32.95,36.25,54.94
Ester Rifky,FTTM,39.3,38.68,50.3
Angel Utami,FTSL,31.92,36.73,59.25
Timothy Sulasmoro,SBM,65.45,72.12,49.34
Amanda Diana,FTTM,38.41,41.38,60.13
Huda Andhika,FITB,43.94,50.64,67.62
Selicia Anggita,FTTM,42.66,48.08,41.36
Alfatih Afifah,FTSL,29.44,30.82,75.94
Trisaputra Kyla,STEI,53.19,52.55,43.82
Arum Christofer,FMIPA,49.05,52.07,62.67
Kalista Muhammad,FMIPA,50.89,58.0,69.32
Ilma Rasyid,FTMD,57.76,58.18,67.16
Fajri Naqisya,FTSL,34.5,38.19,57.93
Ave Realino,FMIPA,48.46,50.96,62.43
Tamimi Darwin,SF,61.03,63.97,73.91
Muhammad Sirait,FTMD,57.78,61.12,67.4
Ramdani M,FTTM,39.52,53.92,64.58
Hufyana Telaumbanua,FTMD,56.36,61.06,69.38
Intan Sirait,FTTM,42.72,43.96,41.18
Shieren Alfiza,FITB,43.81,50.52,54.91
Wiradhika Trifenasari,SF,60.43,64.71,49.68
Halomoan Salimatussholati,FMIPA,50.51,54.27,62.37
Habib Alvin,SITHR,63.09,67.71,55.83
Venli Elsa,FTTM,40.17,38.43,53.61
Nabilah Timothy,FTTM,42.88,50.01,82.03
Ferdinand Rasul,FITB,43.84,47.59,60.59
Sihombing Wijil,SITHS,61.97,56.73,61.6
Kurniawan Indrestata,FITB,44.81,51.33,58.21
Dassa Leonardy,FTSL,34.3,38.79,66.83
Rizky Irgie,FSRD,70.46,70.61,65.21
Vilca Amanda,STEI,53.33,55.35,56.62
Butarbutar Mohamad,FMIPA,51.57,56.3,49.13
Amelia Retno,STEI,53.21,56.54,52.49
Rahadian Anggi,STEI,54.12,60.11,55.14
Yohanes Muhammad,STEI,53.33,56.73,60.38
Hidayat Syifa,SBM,66.57,75.48,50.86
Aglis Novita,FTSL,19.61,25.01,69.69
Wijayanto Widya,STEI,51.94,55.3,63.1
Kayyisa Septina,SAPPK,47.69,53.12,61.11
Frisca Hartadi,FITB,44.47,49.27,53.88
Zukhruf Auliya,SBM,66.85,68.42,71.12
Dhea Aldi,FTSL,33.4,42.93,49.02
Shalsyabilla Teddy,SBM,69.36,64.85,69.19
Tandy Butarbutar,FTMD,59.01,58.53,45.71
nigel Kartika,STEI,53.07,53.47,48.49
Vincent Ariq,FMIPA,51.26,54.16,66.91
Akbar Rizky,FTMD,57.81,57.16,61.98
Rizka Maharani,FMIPA,51.13,58.89,50.5
Kahari Bintang,FSRD,72.23,73.91,58.63
Daffa Beatrix,FTMD,56.53,53.04,60.52
Irfani Anggadinata,SITHS,61.8,70.8,59.24
Nadif Krisna,STEI,55.95,53.09,64.01
Aristia Siahaan,SF,61.2,63.25,63.46
Pradana Mochamad,FTSL,35.94,41.41,53.4
Melati Irfan,SF,60.49,67.96,69.11
Amadeus Bella,STEI,53.29,55.85,49.61
Regita Mazaya,FTSL,28.55,34.76,52.21
Putramas Rasheesa,SAPPK,46.65,53.62,58.1
Muhammad Thalib,SAPPK,47.23,49.78,61.32
Dhirajati Leonard,FTSL,29.7,33.35,52.25
Simarmata Tasya,FTMD,59.28,63.41,53.11
Ferry Aurora,STEI,55.15,62.41,57.12
Farrel Lisdatul,SBM,65.53,61.55,58.49
Bayazid Tanaka,FTSL,34.98,39.46,56.5
Raden Jason,FTMD,57.82,61.33,60.92
Alifah Aufa,FTMD,56.38,60.97,59.98
Afina Timur,FTSL,24.87,30.74,51.81
Murtadho Effendi,FSRD,70.46,73.81,68.18
Akhira Alvin,FSRD,72.53,66.85,60.57
Raudhatul Gerald,FITB,45.6,46.99,62.55
Surbakti Clomidia,FMIPA,51.04,54.87,40.03
Surya Brigitta,FTSL,33.17,35.02,56.15
Dwi Natalia,FTTM,40.16,43.89,61.14
Senna Widyaningrum,SITHS,62.02,62.25,63.45
irham Sunaryo,FITB,45.11,48.36,38.31
Khairy Fitri,SITHS,61.8,64.53,43.82
Patricia Puspita,FMIPA,51.42,57.76,60.51
kylanindita Adhi,STEI,52.95,55.48,47.72
Berkat Adara,FTSL,37.33,42.38,79.09
Ines Gregorius,SITHR,63.39,64.99,38.1
Butar Hutabarat,SITHS,61.69,67.36,66.08
Sutanto Candra,SBM,66.44,68.84,48.92
Ryza Bazaria,FTSL,37.57,41.05,68.07
Howie Jessica,STEI,53.67,56.56,58.64
Muhammad Kemala,FSRD,69.95,73.05,55.88
Karsa Kahfi,FITB,44.52,53.51,53.08
Audira Antaresta,FTMD,59.05,60.79,52.85
Monica Zul,SBM,65.33,63.37,53.71
Raihan Sachio,FSRD,72.74,73.98,56.87
Ramadhan Dara,SAPPK,47.63,54.44,52.14
Carissa Mayra,FMIPA,49.11,56.64,65.58
Razita Rayyan,FTTM,43.38,40.91,41.47
Pratama Yudhawijaya,SITHS,62.31,67.69,45.09
Celine Adiyatma,FTMD,58.12,60.39,71.83
Muzakki Baihaki,FSRD,79.82,80.08,75.09
Rizki Emerentia,FSRD,75.94,74.81,80.15
Nilnal Yudanto,FITB,44.84,47.23,44.51
Aloysius Muhammad,FITB,44.82,45.85,49.12
Almaimunah Raditya,SAPPK,46.74,52.03,59.46
Widyanti Christy,SBM,65.5,67.75,54.83
Nugrahadi Yusviansyah,FMIPA,49.35,51.45,52.53
Prabasari caitlyn,STEI,55.59,57.79,53.94
Gustiarini Nathalia,FTTM,42.03,43.97,43.82
Hanifah Nikolas,FTSL,30.04,31.08,33.32
Ramadan Maullana,FTTM,38.06,43.64,56.93
Irfan Setiawan,SF,59.88,60.5,42.42
Febrianty Ardiyana,FTTM,41.22,45.43,68.07
Meta Prawira,FITB,44.04,45.7,68.13
Hammadi Beckham,FITB,44.57,48.19,66.0
Alfan Fattan,FITB,46.36,47.05,65.71
Nuur Mifta,FTMD,57.52,64.89,55.27
Nathania Eshandra,FTTM,43.04,46.9,40.85
Damayanti Yulerika,SITHR,63.5,68.59,62.42
Azriel Nikita,FTMD,58.3,59.86,54.97
zahrir Riski,FTSL,25.89,27.46,53.7
Fahreza Afifah,STEI,53.91,57.92,52.76
Naura Arkananta,FMIPA,48.31,48.38,70.94
Alighonyu Maria,FTTM,42.98,44.62,34.0
Helmi Xu,FTTM,41.59,50.29,57.0
Azalea Almafayra,SITHR,62.92,58.63,52.39
Gloria Muthi,FTSL,35.64,40.76,56.04
Rheinilan Aziz,SF,60.81,62.03,59.04
Siregar Evieta,FITB,45.94,44.41,46.43
T Evandhika,FSRD,82.79,77.57,66.09
Shieren Nadhiya,FTMD,58.44,53.55,42.31
Nazirul Nissha,FITB,44.29,44.98,57.52
Panggah Prabowo,SITHR,63.43,68.38,60.74
Efrata Febrian,SBM,66.9,66.78,47.6
Akmal Gifari,FMIPA,50.96,55.17,58.6
Limawan Pelamonia,SBM,68.6,70.17,54.77
Nur Reza,SITHR,64.73,68.73,65.39
Permana Adelia,FITB,45.95,50.01,49.12
dewi Paturohman,FTTM,43.11,49.2,50.53
Angelia Nur,SF,60.14,59.87,61.44
Rafa Zinedine,FTMD,58.86,60.94,75.06
Andre Tsaqifa,FSRD,71.97,74.15,39.3
Alisha Irma,STEI,53.76,54.57,76.06
Anwaril Vito,FSRD,70.49,72.44,52.14
Muhammad Taufiq,FTSL,25.08,32.76,47.62
Jagatpati Rizky,FTTM,42.26,44.85,59.02
Izza Jonathan,SF,61.26,57.19,60.49
M. Yulia,FTSL,36.27,43.49,60.85
Maulina Pahlawan,FMIPA,49.58,54.03,57.47
Clarissa Jusuf,FTMD,58.6,60.55,62.36
Arief Ammar,SITHR,63.2,65.02,47.47
Muhammad Aryasatya,FTMD,57.48,58.43,62.63
raden Althaafa,FTTM,42.13,46.93,65.65
Zhafran Azmi,FTSL,29.43,33.58,51.53
Ryan Steven,FTMD,59.32,59.36,61.87
Richard Alberto,FTTM,41.18,42.86,70.38
Ihsan Armand,SAPPK,47.14,47.86,61.54
Olivia Caleb,FSRD,71.88,71.91,58.92
Clarissa Felicia,SAPPK,47.78,53.0,60.35
Nafi Daniel,STEI,54.64,53.31,50.64
Emir Argipuspa,FTMD,57.74,61.78,63.91
Muhammad Sherlin,SITHS,62.06,64.15,62.54
Atika Chlarrizya,SITHR,63.11,64.93,44.61
Hashemi Jonggara,SITHR,63.04,60.04,72.69
Alsya Wibisono,FSRD,75.61,73.7,52.39
Steven Tampubolon,FTMD,56.51,58.14,54.87
Halomoan Syifa,FTSL,14.77,23.05,42.63
Anak Alshaadiq,STEI,55.46,54.21,41.84
Arrrahman muhammad,FSRD,71.09,68.44,64.33
Achmad Primadiya,STEI,52.81,56.59,67.8
Rahman Zaki,FTMD,59.2,61.6,51.65
Fachry Fatika,SAPPK,47.95,46.51,58.98
Angela Husna,FTSL,35.11,37.9,36.8
Krisna Muhammad,FTMD,57.12,58.6,65.2
Rizky Witjaksono,FTMD,58.93,60.13,57.29
Putri Ruth,STEI,54.33,63.12,54.89
Fata Nur,FTMD,57.22,56.88,52.78
Eveline W.,SITHR,64.84,68.61,68.2
Barran Christopher,STEI,55.3,54.79,52.65
Zailani Shaff,FSRD,74.9,66.82,78.02
K Putri,STEI,54.74,55.89,66.84
Rildova Vincent,SITHS,62.5,63.79,57.73
Danu Anindya,FTSL,36.58,39.28,56.18
Made Novan,FITB,46.28,47.64,73.76
Mosca Olivia,FTTM,40.51,44.66,47.41
Zahra Anandya,SF,61.54,60.73,65.92
Ayodya Nanda,FITB,44.32,49.3,35.43
Pebriwan Syifa,FSRD,72.41,70.59,69.08
Imam Almafayra,FSRD,74.43,79.32,51.64
Shaliha Muhammad,FITB,44.33,39.4,67.59
Kiara Sitanggang,FTSL,25.88,33.23,62.07
Raina Brenda,FMIPA,49.3,47.95,61.01
Muhammad Rusydi,STEI,51.86,56.72,58.61
Arif As'cholani,FTSL,36.12,48.38,59.67
Wulandari Ruwita,FTTM,41.76,38.23,67.79
Nicolas Mukminin,STEI,53.57,57.94,53.67
Haq azizah,SITHR,63.38,69.67,52.37
Tanzi Dyah,STEI,55.67,58.0,35.7
Rahmayanti Eunike,SITHR,63.87,66.32,61.15
Mark Fernanda,FMIPA,50.79,53.8,54.55
Nadya Muhammad,STEI,54.77,61.03,44.66
Setyo Raden,SAPPK,47.35,52.08,59.58
Nabila Aulya,STEI,54.16,57.91,62.36
'Aisyi Alvonda,FSRD,70.39,69.19,58.66
Dhiya Farhana,FMIPA,51.15,58.24,49.5
Manalu Gabriana,SF,60.92,65.62,59.93
Lestari Ignatius,SBM,66.69,74.17,62.03
Yuwandwike Muhamad,FTSL,23.87,30.56,57.82
Fauzia Alifia,FMIPA,48.95,54.12,50.17
Amriza Pramudya,FTSL,31.49,37.59,50.43
Stearine Fida,FITB,44.5,46.86,53.5
wp Yodia,FMIPA,48.93,55.95,49.56
Shafira Fatih,FSRD,76.05,77.66,51.96
Rahmadwiningtyas Yesenia,FMIPA,48.62,51.33,50.79
Al Bridgette,FMIPA,50.62,58.11,66.85
Aulya Andrew,FMIPA,50.61,51.11,57.31
Kharisma Eunike,FTSL,32.37,40.78,53.52
Alvino Faiq,FMIPA,48.42,51.94,54.32
Murti Arrafy,FITB,46.1,51.85,59.81
Ari Anandha,FTSL,36.03,47.26,74.2
Yudhitama Muhammad,FTSL,35.09,41.11,62.87
Selvarani Brasdia,SF,60.56,66.63,83.69
Aciana Shafhan,FTMD,56.89,64.63,73.55
Sumerta Pekerti,FTMD,58.45,65.76,51.37
zaidan Yohanes,SBM,66.83,72.57,55.26
AINARO Farhan,FSRD,74.23,81.68,67.13
Fauzia Nadya,SBM,68.97,72.44,69.07
Sekar Wibisono,FMIPA,50.69,49.2,58.35
Darmachaidi Kalisha,SBM,66.73,65.98,60.14
Morenzo Hania,SAPPK,47.98,50.87,46.65
Ilham Rahman,FITB,46.06,46.61,53.39
Levin Dzakwanil,FTSL,34.29,39.67,59.35
Najmi Aditya,STEI,56.0,57.59,52.52
Hakim al,FTTM,43.49,49.44,66.03
Muhammad Nugroho,FTTM,42.98,45.87,69.06
Kayla Maria,FSRD,73.13,79.44,48.6
Putri Andini,SF,60.7,66.26,51.5
Zalikha Budiman,STEI,54.3,56.03,41.97
V. Kusuma,FITB,46.37,42.92,54.8
Divany Ravindra,STEI,54.01,60.66,66.93
Satriya Michael,FTMD,57.36,58.56,42.11
Fuad Azer,FTTM,39.45,43.41,60.7
Laksmi Febi,SBM,68.65,70.23,62.17
Virginia Debora,SBM,65.25,64.27,56.52
Anugerah Hadid,STEI,52.94,58.29,73.21
Auliya Loda,FTTM,40.09,45.8,76.14
Mario Jauza,STEI,54.67,59.97,61.97
Farhany Arya,FTSL,17.55,23.12,82.33
Setyawan Dhiya,SF,60.4,62.58,57.6
Muhammad Handrata,SITHR,63.94,66.76,70.34
Arvind Matondang,STEI,52.99,63.4,54.55
Ananda Nabila,SAPPK,47.4,52.79,62.48
Howie Tsazkia,STEI,53.81,55.74,40.41
Monica Aristo,FSRD,75.94,74.88,76.34
Dhiyaa Fajar,STEI,55.68,59.85,44.52
Anismar fadhillah,FSRD,78.68,76.79,69.3
Shadrina Nugroho,FTSL,36.15,42.43,62.87
Putri Marcella,STEI,52.51,58.49,53.98
Nafsa Felicia,STEI,51.98,59.75,56.02
Muhammad Naufal,FTMD,56.92,57.66,54.3
Rasyad Mumtaz,FTSL,28.0,38.23,49.44
Qaulika Khairunnisa,SAPPK,47.14,54.7,52.25
Jellyn Rahmanda,FTMD,59.45,62.87,43.66
Darmawan zayyan,FTTM,39.25,48.72,56.04
Kalula Pande,FMIPA,50.84,57.02,72.13
Asma Elena,FITB,46.4,45.73,57.33
Sangadji Hendriani,STEI,54.63,59.09,54.56
Rofif Sandrina,FTTM,37.75,42.28,61.1
Dewanti Putri,FTTM,37.82,45.23,67.05
Radhya Pembayun,FSRD,75.67,74.8,57.24
Ramadhani Kusdiana,FMIPA,50.61,59.71,69.6
Maula Gerald,FTMD,57.56,60.81,50.72
Gadmandasa Nila,FSRD,70.32,70.33,69.33
Adrian M.,SF,61.08,61.19,43.39
Salsabillah Laode,FTTM,41.03,48.59,58.38
Rafi M.Rafly,FTTM,41.16,46.71,58.48
Catur Shafa,STEI,54.29,60.0,58.74
Muhammad Dhiya,FMIPA,48.82,53.94,64.13
Adikara Sunaryo,FTTM,38.11,38.87,55.85
Zem Sirait,FTSL,19.66,23.19,51.27
Brandon Anggi,SAPPK,47.35,48.67,56.64
As-syarif Indra,FTMD,57.01,68.76,59.64
Dwi Irfan,FTSL,35.23,39.67,66.85
Kosasih Yulistyani,SITHR,64.65,66.62,56.76
Normallairy Ni,FMIPA,49.52,53.47,62.66
Bempah Khairunnisa,SF,61.51,68.26,70.44
Maytsa tri,FTSL,28.99,39.66,57.57
najla M.Ariq,STEI,51.94,53.06,54.31
Gunawan Sinaga,STEI,52.03,56.17,53.26
Inggrid Putri,FSRD,72.7,76.12,43.62
Daiva Pangestu,FSRD,76.12,72.34,58.13
Sutanto Hafizha,SBM,68.18,57.17,44.78
Soetanto Shodrina,FSRD,71.39,77.53,56.44
Rafi Rivaldi,FTTM,43.28,43.99,58.88
Gregorius Hammadi,FSRD,70.81,76.33,54.02
Peyton Adani,FSRD,73.94,76.91,55.94
Widi Diva,STEI,55.16,57.34,47.01
Andini Rofilah,FTSL,33.17,35.22,70.18
Lucky Rahmatullah,FTTM,41.21,38.84,63.78
Muhammad Agung,FMIPA,49.25,51.48,58.48
sulthan ulang,FITB,44.56,44.98,59.46
Muhammad Adirama,FTSL,35.72,41.62,50.18
Lutfi Laras,STEI,53.76,63.17,44.73
Salwa Fakhrianda,FTMD,56.24,60.73,61.0
Hasnah Tasyrikah,SBM,67.04,72.12,58.54
Novaldi Driramanugraha,FMIPA,49.76,58.28,72.89
Valencia Ari,FTTM,42.31,45.73,54.08
Farah Silmi,FTSL,36.46,44.87,56.19
Loho Elvin,SITHR,64.31,65.52,58.28
Umaryono Raisha,FITB,45.38,45.8,57.07
Tasyrikah Andini,SITHS,61.77,60.17,53.93
Litaay Permatasari,SITHR,63.61,65.87,60.04
fataya Fidelya,SBM,67.18,70.26,61.17
Nathasya Alysha,FTSL,32.21,35.93,69.87
Abraham Agnes,FTTM,39.73,37.45,53.54
Dimas Joyvita,STEI,55.94,60.68,65.55
Rifqi alyssa,FMIPA,50.76,51.94,48.32
ramadhanti Nugraha,FITB,45.75,49.53,55.02
Nurhasan Aulia,FTSL,37.51,46.55,69.1
Habibie Fadhiilah,FTMD,57.71,60.3,63.58
Restu Nugraha,FTTM,42.34,43.02,74.83
K Adiputra,FTSL,35.48,42.01,56.34
Tiurma Tapilatu,SITHS,61.62,63.48,49.71
Sri Khalid,FITB,44.01,47.96,55.82
Bellucy Fahryan,SITHS,62.6,65.46,60.35
Abraham Abyan,STEI,54.2,59.64,71.25
Johan Fathariska,SITHR,62.97,59.67,66.48
Widya Rochaka,SAPPK,47.87,54.19,66.65
Uzlah Akmalia,FTSL,35.74,41.69,71.83
Anindhita Tampubolon,FTSL,26.92,31.08,49.88
Madjid Afifa,STEI,54.57,53.97,50.11
Alyssa Khairullah,FTSL,37.36,44.95,71.99
Auliya Fatimah,FMIPA,49.16,56.7,41.04
I Shalom,STEI,53.13,61.7,61.22
Krisna Zachary,FTMD,56.42,55.61,57.12
Pratista Prada,FMIPA,48.42,47.76,65.31
Dwisyah Zalikha,SITHR,64.59,66.51,49.53
Christopher Tambunan,FTTM,42.39,47.59,79.6
Putri N,FTTM,41.1,47.36,66.95
Rais Kasilia,SBM,68.54,71.32,49.54
Gde Patrisius,FITB,45.82,51.43,56.12
Dzakiyyah Muhammad,FTTM,39.78,41.8,56.77
Saleh Rizky,SF,60.49,62.58,64.52
Abigail Fayza,FTTM,42.88,45.7,70.04
Fauzan Rumi,SBM,65.88,68.34,56.02
Muhamad Anthony,FSRD,76.06,75.76,61.04
Muhammad Akmal,FTTM,41.75,42.68,60.45
Evelyn A.,FTSL,32.14,35.26,68.83
Putri Roja,FTMD,57.82,64.51,55.08
Allen marsheila,STEI,51.81,52.55,49.62
Mutiara Andrew,SITHR,63.17,58.22,43.31
Prima Hubert,SAPPK,47.07,55.01,63.72
Indira Rifda,SITHS,62.65,66.16,52.61
Andry p,FTTM,41.05,43.59,44.73
Valentino Josafat,FTSL,26.11,30.16,73.55
Putri Yahya,SBM,67.77,69.15,59.59
Hidayati Veronica,FTTM,40.21,46.4,69.37
Mutu Muchamad,FTTM,39.29,42.94,73.58
Arif Natasha,FTTM,39.36,51.83,64.99
Camilla Syakinah,FMIPA,50.73,47.45,53.47
Jasmine Richard,FTSL,34.77,38.94,64.78
Zhafran Laureent,FMIPA,51.66,55.51,64.41
Dwisaroha Tazkia,FTSL,33.05,39.05,47.25
Farra-Izadi Sidauruk,FMIPA,49.48,57.06,60.55
Irfani Khaira,SAPPK,47.99,52.81,54.37
Aluna Nurmaelia,FITB,44.41,52.72,60.24
Alyssa Ulhaq,FMIPA,49.84,52.28,62.85
Aulia Aliya,FTMD,59.8,66.26,51.24
Syaputra E,FMIPA,48.68,49.44,44.82
Muhammad Raden,FTTM,43.02,48.91,59.96
Sasangka Satyagraha,SF,61.12,62.91,57.28
Alysha Mario,FMIPA,51.27,51.43,55.7
Manuel Alyssa,FTTM,42.42,41.79,31.68
Rafiuddin Inggrid,STEI,52.64,58.92,47.53
Farnas Marcelino,STEI,55.55,61.0,60.17
Hamid Friska,FTSL,36.26,43.4,80.08
Andevi Asri,SITHR,65.03,70.28,65.34
Peter Ratna,FMIPA,50.34,49.25,63.73
Muhammad Putri,FTSL,29.85,29.26,51.52
Daffa Cantika,STEI,54.53,61.87,54.57
Husain Lestari,FTMD,56.6,59.47,55.1
Fildzah Fakhri,FTSL,33.08,41.13,67.74
Andrean Jalu,FSRD,69.7,69.4,59.01
Muhammad Nyoman,FSRD,77.21,76.72,46.87
Abdul Hambali,STEI,54.21,56.27,61.31
Mukminin Islami,FTTM,37.76,44.62,55.5
Refael Ariq,STEI,55.8,60.41,51.45
Geraldi Ikmal,SAPPK,47.86,52.8,68.19
Anggian Nur,STEI,53.29,56.15,57.61
Rasendriya aulia,SITHS,62.66,63.61,66.27
Fajar Aufa,SF,60.99,63.01,59.1
Joaquin Rafida,FSRD,76.59,79.03,65.13
Akhira Muhammad,STEI,54.27,58.31,54.34
Sachio Nur,FTSL,23.71,32.09,60.96
Amalia lubis,FITB,44.02,47.88,50.25
Shana Carlo,FTMD,58.01,62.86,52.32
Annida Aninda,FTSL,32.77,38.65,62.01
Putri Adji,FTSL,33.76,39.26,55.48
David Mohammad,FTMD,57.08,62.76,58.7
Attahiya Ahmad,FTSL,35.38,42.36,43.98
Margareth Muhammad,FMIPA,51.52,57.54,71.62
Gian Rama,FSRD,76.86,78.78,68.01
Rizki aryo,STEI,54.62,56.83,54.74
Kusuma Agustiawan,FTMD,58.9,57.98,72.05
Lopulalan HAKEM,FTTM,42.17,46.77,50.32
Yovanka Fadia,SITHR,63.7,66.46,57.83
Stephanie Sekar,FMIPA,48.38,49.95,55.04
Soegijoko Aviciena,SITHR,64.19,69.94,45.69
Muamar Alifia,FTTM,42.88,53.32,32.03
Pramana Madani,FMIPA,48.49,51.63,46.88
Dinara Nazhel,FTSL,34.68,35.53,49.55
Samudra Naomi,FTTM,38.5,49.38,71.87
Visakha Rival,FTTM,39.37,47.15,35.37
Faiz Candra,FMIPA,51.53,53.58,53.61
Monica Machdy,FTMD,57.73,60.94,63.67
Nadhifah Veri,STEI,53.35,58.98,59.01
Sayu Nugraha,FTTM,42.93,43.59,65.15
Nugrahadi Hana,FTTM,38.23,37.84,57.72
Zulfianda Audia,SITHS,61.6,63.95,52.23
khoirul Dhiya,FITB,44.64,48.92,61.99
Dutta Najiyah,FSRD,76.19,78.91,61.98
Putri Azalia,FTTM,38.65,50.08,46.29
Diramia Suci,FTMD,57.61,61.33,78.12
Syabina Lestari,STEI,54.79,58.63,54.24
DAFFA Marpaung,STEI,55.14,59.53,50.12
Ziyad Dewi,STEI,55.33,60.51,43.29
P. Adityo,FMIPA,50.22,50.93,59.52
Tasya Dewanti,FTTM,42.14,52.16,51.0
Ryza Nisaulhaq,SBM,65.95,66.2,62.71
Putra Muhammad,FTMD,56.35,63.39,66.69
Larisa Angeli,STEI,53.17,54.31,57.23
Atmadja Galuh,FMIPA,51.41,57.93,57.96
Hapsari Rigel,FTTM,40.52,46.18,34.37
Rahman Rizqita,SITHS,61.94,68.69,69.28
Andimas Ahmad,STEI,53.07,58.06,36.21
P Prameswari,FMIPA,48.62,47.22,51.88
Sapta tjayadi,FTMD,59.27,60.8,35.25
Mahfudz Muhammad,FMIPA,50.5,55.33,65.61
Wilson latenritatta,FTTM,37.82,40.14,34.57
Mahakara Bidzikrillah,SBM,66.76,68.17,66.25
Karisma Fairuz,STEI,52.46,55.33,66.45
Priyo Saparta,FITB,45.66,48.41,45.98
Tohir Aditya,STEI,53.36,59.81,60.27
ardyan Shannon,FTMD,59.38,60.32,69.1
Novaldi Lutfiah,FITB,45.4,48.65,48.81
Salwa Kemas,STEI,55.02,60.16,70.59
Manuel Fitranto,FTMD,58.3,58.8,55.13
Wijaya Dennis,FMIPA,51.51,56.7,63.48
Syahli Ghifari,FTSL,33.02,44.0,66.36
Adlina Agastya,SBM,67.75,71.7,46.12
Setyawan Adrianza,FTMD,57.84,59.4,60.26
Satya Makarim,SAPPK,47.31,51.66,54.36
Reka Rahmalia,FMIPA,49.64,45.82,70.68
Wahyudi Difa,STEI,52.89,57.71,52.71
Ilham Yaumun,FMIPA,50.18,57.92,60.08
Meliana Kyla,STEI,54.09,57.44,61.55
Farhan Rizki,SAPPK,47.16,46.18,40.67
Kurniawan Muhammad,FTSL,27.99,31.38,60.72
Rizky Prabowo,FTSL,37.34,40.77,64.17
Putra Cliff,SITHS,62.63,66.92,65.01
Amellia Wysan,SITHR,62.86,67.27,58.14
Kahan ,FMIPA,50.91,50.56,47.65
Muhammad Mikha,FTMD,56.45,58.73,52.87
A Andi,FSRD,85.8,89.65,54.14
Andry Ignatius,FTSL,30.97,38.86,55.32
Joseph Lubis,FSRD,70.06,75.48,68.38
Lestari Fauziah,STEI,55.29,57.84,48.88
Razaq Lutfiah,FSRD,70.95,70.84,60.41
Isfahan Haekal,FTMD,59.59,64.63,72.34
Dzaki Beatrix,STEI,54.59,58.26,48.33
Abdul Rafael,FTMD,57.8,56.97,41.03
Kholily alvin,FMIPA,49.61,56.5,46.02
Rina Made,FTSL,35.22,41.35,51.38
shelly Abdul,FTTM,38.53,42.07,60.94
Mawarni Maheswara,FTMD,56.12,56.67,57.03
Quinela Rahayu,FITB,44.56,45.18,66.38
Naufal Syafina,SAPPK,47.94,49.63,62.88
Masrsha Ichsani,FTSL,32.86,38.3,58.42
Lay Ananda,SITHS,62.04,61.55,52.24
Ghaitsa Jihan,FTSL,34.26,43.77,61.15
Amira agfa,FTSL,35.91,42.57,54.53
Putri Haje,FTSL,28.62,35.92,67.41
Poetrianka Anggun,FTTM,41.96,46.9,53.11
